freq,phAngle,power,reacPower,rmsCur,rmsVolt,value
50.0,275,0.312,-3.226,0.013,234.541,CoffeMachine
50.0,275,0.208,-3.226,0.013,234.559,CoffeMachine
50.0,275,0.208,-3.226,0.013,234.452,CoffeMachine
50.0,275,0.312,-3.226,0.013,234.688,CoffeMachine
50.0,275,0.312,-3.226,0.013,234.6,CoffeMachine
50.0,276,0.312,-3.226,0.013,234.432,CoffeMachine
50.0,276,0.312,-3.122,0.013,233.42,CoffeMachine
50.0,276,0.208,-3.226,0.013,233.445,CoffeMachine
50.0,276,0.312,-3.226,0.013,233.499,CoffeMachine
50.0,276,0.312,-3.226,0.013,233.191,CoffeMachine
50.0,275,0.208,-3.122,0.013,233.063,CoffeMachine
50.0,275,0.208,-3.226,0.013,233.21,CoffeMachine
50.0,275,0.312,-3.226,0.013,232.913,CoffeMachine
50.0,275,0.208,-3.226,0.013,233.202,CoffeMachine
50.0,0,71.294,-1.353,0.307,232.993,CoffeMachine
50.0,276,0.312,-3.122,0.013,232.311,CoffeMachine
50.0,275,0.208,-3.226,0.013,233.174,CoffeMachine
50.0,275,0.208,-3.122,0.013,233.035,CoffeMachine
50.0,276,0.312,-3.226,0.013,233.004,CoffeMachine
50.0,276,0.312,-3.122,0.013,233.052,CoffeMachine
50.0,276,0.312,-3.122,0.013,233.099,CoffeMachine
50.0,276,0.312,-3.122,0.013,233.131,CoffeMachine
50.0,357,39.758,-2.081,0.171,232.916,CoffeMachine
50.0,276,0.312,-3.226,0.013,233.056,CoffeMachine
50.0,276,0.312,-3.226,0.013,233.224,CoffeMachine
50.0,275,0.208,-3.226,0.013,233.187,CoffeMachine
50.0,276,0.312,-3.226,0.013,233.011,CoffeMachine
50.0,276,0.312,-3.122,0.013,233.146,CoffeMachine
50.0,276,0.312,-3.226,0.013,234.33,CoffeMachine
50.0,278,0.416,-3.226,0.013,234.206,CoffeMachine
50.0,276,0.312,-3.226,0.013,234.261,CoffeMachine
50.0,276,0.312,-3.226,0.013,234.153,CoffeMachine
50.0,275,0.312,-3.226,0.013,234.26,CoffeMachine
50.0,0,235.844,-2.497,1.012,233.658,CoffeMachine
50.0,276,0.312,-3.226,0.013,234.279,CoffeMachine
50.0,275,0.312,-3.226,0.013,234.348,CoffeMachine
50.0,275,0.312,-3.226,0.013,234.25,CoffeMachine
50.0,275,0.312,-3.226,0.013,234.218,CoffeMachine
50.0,276,0.312,-3.226,0.013,234.182,CoffeMachine
50.0,276,0.312,-3.226,0.013,234.26,CoffeMachine
50.0,275,0.312,-3.226,0.013,234.336,CoffeMachine
